,text
10,"['this objective', 'objective way', 'way of', 'of looking', 'looking at', 'at a', 'a thing', 'thing freed', 'freed from', 'from considerations', 'considerations of', 'of the', 'the personal', 'personal reactions', 'reactions to', 'to that', 'that thing', 'thing is', 'is the', 'the pith', 'pith of', 'of the', 'the method', 'method and', 'and constitutes', 'constitutes what', 'what is', 'is called', 'called knowing', 'knowing as', 'as it', 'it is', 'is yathabhuta', 'yathabhuta ñanadassana', 'ñanadassana also', 'also by', 'by its', 'its quality', 'quality of', 'of reckoning', 'reckoning just', 'just what', 'what is', 'is present', 'present mindfulness', 'mindfulness cuts', 'cuts down', 'down discursive', 'discursive thought', 'thought and', 'and prepares', 'prepares the', 'the mind', 'mind to', 'to take', 'take in', 'in the', 'the actual', 'actual characteristics', 'characteristics of', 'of the', 'the cognized', 'cognized objects', 'objects in', 'in this', 'this sense', 'sense mindfulness', 'mindfulness lets', 'lets the', 'the objects', 'objects speak', 'speak for', 'for themselves', 'themselves and', 'and unfold', 'unfold their', 'their nature']"
11,[]
12,"['thus it', 'it predisposes', 'predisposes and', 'and opens', 'opens the', 'the mind', 'mind to', 'to the', 'the impressions', 'impressions of', 'of truth', 'truth induces', 'induces mental', 'mental pliancy', 'pliancy and', 'and the', 'the mood', 'mood of', 'of spiritual', 'spiritual receptivity', 'receptivity the', 'the basis', 'basis of', 'of highest', 'highest intuition']"
13,[]
14,"['the way', 'way of', 'of the', 'the arousing', 'arousing of', 'of mindfulness', 'mindfulness sets', 'sets forth', 'forth the', 'the whole', 'whole duty', 'duty of', 'of the', 'the meditator', 'meditator and', 'and provides', 'provides for', 'for every', 'every phase', 'phase of', 'of the', 'the process', 'process of', 'of training', 'training for', 'for insight', 'insight it', 'it is', 'is strenuous', 'strenuous wholetime', 'wholetime work', 'work and', 'and only', 'only resolute', 'resolute hearts', 'hearts in', 'in whom', 'whom the', 'the consciousness', 'consciousness of', 'of lifes', 'lifes suffering', 'suffering runs', 'runs deep', 'deep could', 'could hope', 'hope to', 'to pursue', 'pursue it', 'it to', 'to the', 'the end', 'end the', 'the attainment', 'attainment of', 'of arahantship']"
15,[]
16,"['the buddhas', 'buddhas goal', 'goal of', 'of emancipation', 'emancipation is', 'is attained', 'attained with', 'with the', 'the extirpation', 'extirpation of', 'of all', 'all craving', 'craving and', 'and spiritual', 'spiritual ignorance', 'ignorance who', 'who wins', 'wins it', 'it gains', 'gains lasting', 'lasting mental', 'mental strength', 'strength and', 'and contentment', 'contentment it', 'it is', 'is the', 'the source', 'source of', 'of real', 'real peace', 'peace and', 'and equanimity']"
17,[]
18,"['lack of', 'of freedom', 'freedom consists', 'consists of', 'of subjection', 'subjection to', 'to hate', 'hate lust', 'lust and', 'and ignorance', 'ignorance virtuous', 'virtuous conduct', 'conduct wipes', 'wipes out', 'out hate', 'hate the', 'the calm', 'calm of', 'of skillful', 'skillful concentration', 'concentration casts', 'casts out', 'out lust', 'lust and', 'and wise', 'wise understanding', 'understanding of', 'of the', 'the world', 'world within', 'within oneself', 'oneself dispels', 'dispels ignorance', 'ignorance the', 'the way', 'way of', 'of mindfulness', 'mindfulness does', 'does all', 'all this', 'this it', 'it is', 'is designed', 'designed for', 'for the', 'the attainment', 'attainment of', 'of fullest', 'fullest inner', 'inner freedom']"
19,[]
20,"['this is', 'is the', 'the only', 'only satisfying', 'satisfying way', 'way for', 'for the', 'the seeker', 'seeker of', 'of truth', 'truth when', 'when the', 'the diffuseness', 'diffuseness papañca', 'papañca of', 'of the', 'the external', 'external world', 'world with', 'with its', 'its thin', 'thin layer', 'layer of', 'of culture', 'culture comfort', 'comfort and', 'and allurement', 'allurement ceases', 'ceases to', 'to be', 'be interesting', 'interesting and', 'and is', 'is found', 'found to', 'to lack', 'lack true', 'true value', 'value the', 'the seeker', 'seeker knows', 'knows to', 'to a', 'a certainty', 'certainty that', 'that what', 'what he', 'he wants', 'wants is', 'is to', 'to be', 'be found', 'found in', 'in the', 'the realm', 'realm of', 'of the', 'the spirit', 'spirit there', 'there alone', 'alone he', 'he feels', 'feels he', 'he would', 'would reach', 'reach the', 'the vision', 'vision of', 'of oneness', 'oneness ekatta', 'ekatta of', 'of the', 'the enduring', 'enduring dhuva', 'dhuva by', 'by transcending', 'transcending the', 'the diversity', 'diversity nanatta', 'nanatta of', 'of change', 'change aniccata', 'aniccata and', 'and what', 'what he', 'he wants', 'wants is', 'is inward', 'inward integrity', 'integrity intactness', 'intactness inviolability', 'inviolability based', 'based on', 'on the', 'the unshakable', 'unshakable deliverance', 'deliverance of', 'of the', 'the mind', 'mind from', 'from the', 'the sway', 'sway of', 'of all', 'all conditioned', 'conditioned phenomena', 'phenomena to', 'to this', 'this the', 'the way', 'way of', 'of mindfulness', 'mindfulness leads', 'leads by', 'by showing', 'showing him', 'him how', 'how to', 'to penetrate', 'penetrate into', 'into the', 'the singleness', 'singleness of', 'of nature', 'nature ekasabhava', 'ekasabhava of', 'of the', 'the supreme', 'supreme void', 'void agga', 'agga suñña', 'suñña nibbana', 'nibbana which', 'which is', 'is permeated', 'permeated with', 'with the', 'the one', 'one taste', 'taste ekarasa', 'ekarasa of', 'of liberation', 'liberation vimutti']"
21,[]
22,"['the way', 'way of', 'of mindfulness', 'mindfulness reaches', 'reaches the', 'the first', 'first stage', 'stage of', 'of supramundane', 'supramundane fulfillment', 'fulfillment with', 'with what', 'what is', 'is technically', 'technically known', 'known as', 'as entry', 'entry into', 'into the', 'the stream', 'stream or', 'or the', 'the arrival', 'arrival at', 'at the', 'the unswerving', 'unswerving path', 'path to', 'to the', 'the goal', 'goal before', 'before that', 'that there', 'there could', 'could be', 'be serious', 'serious deviations', 'deviations but', 'but not', 'not from', 'from that', 'that point', 'point where', 'where the', 'the first', 'first direct', 'direct glimpse', 'glimpse of', 'of the', 'the goal', 'goal is', 'is obtained']"
23,[]
24,"['the discourse', 'discourse on', 'on the', 'the arousing', 'arousing of', 'of mindfulness', 'mindfulness deals', 'deals with', 'with the', 'the preparatory', 'preparatory part', 'part the', 'the mundane', 'mundane way', 'way of', 'of mindfulness', 'mindfulness which', 'which is', 'is of', 'of immediate', 'immediate practical', 'practical value', 'value to', 'to worldlings', 'worldlings still', 'still in', 'in the', 'the valleys', 'valleys of', 'of the', 'the spirit', 'spirit far', 'far from', 'from the', 'the supramundane', 'supramundane peaks']"
25,[]
26,"['mindfulness is', 'is a', 'a process', 'process an', 'an event', 'event and', 'and an', 'an arising', 'arising and', 'and a', 'a passing', 'passing away', 'away momentarily', 'momentarily like', 'like any', 'any other', 'other mental', 'mental property', 'property although', 'although it', 'it is', 'is a', 'a basic', 'basic power', 'power a', 'a shelter', 'shelter and', 'and a', 'a refuge', 'refuge of', 'of the', 'the mind', 'mind the', 'the role', 'role it', 'it plays', 'plays in', 'in the', 'the drama', 'drama of', 'of transition', 'transition from', 'from ignorance', 'ignorance to', 'to knowledge', 'knowledge differs', 'differs considerably', 'considerably according', 'according to', 'to the', 'the other', 'other properties', 'properties of', 'of mind', 'mind with', 'with which', 'which it', 'it works']"
27,[]
28,"['for instance', 'instance in', 'in association', 'association with', 'with right', 'right understanding', 'understanding and', 'and its', 'its group', 'group which', 'which comprises', 'comprises wisdom', 'wisdom intense', 'intense knowledge', 'knowledge discrimination', 'discrimination research', 'research investigation', 'investigation of', 'of things', 'things consideration', 'consideration close', 'close examination', 'examination pondering', 'pondering over', 'over learning', 'learning skillfulness', 'skillfulness keenwittedness', 'keenwittedness analysis', 'analysis reflection', 'reflection vision', 'vision sagacity', 'sagacity the', 'the discernment', 'discernment that', 'that leads', 'leads aright', 'aright penetrative', 'penetrative insight', 'insight and', 'and clear', 'clear comprehension', 'comprehension it', 'it is', 'is rational', 'rational and', 'and when', 'when it', 'it is', 'is combined', 'combined with', 'with right', 'right concentration', 'concentration and', 'and its', 'its cognates', 'cognates such', 'such as', 'as mental', 'mental steadfastness', 'steadfastness serenity', 'serenity immovability', 'immovability quietude', 'quietude nondistraction', 'nondistraction and', 'and pacification', 'pacification it', 'it is', 'is intuitive']"
29,[]
30,"['but the', 'the intuitive', 'intuitive or', 'or rational', 'rational role', 'role does', 'does not', 'not preclude', 'preclude mindfulness', 'mindfulness from', 'from communicating', 'communicating its', 'its regulative', 'regulative impulse', 'impulse of', 'of moderation', 'moderation to', 'to the', 'the mind', 'mind at', 'at all', 'all times', 'times it', 'it is', 'is the', 'the property', 'property which', 'which makes', 'makes for', 'for proper', 'proper proportion', 'proportion in', 'in the', 'the response', 'response of', 'of the', 'the mind', 'mind to', 'to mental', 'mental objects']"
31,[]
32,"['mindfulness as', 'as memory', 'memory is', 'is indicated', 'indicated by', 'by such', 'such terms', 'terms as', 'as annussati', 'annussati ', ' calling', 'calling to', 'to mind', 'mind patissati', 'patissati ', ' remembrance', 'remembrance dharanata', 'dharanata ', ' bearing', 'bearing in', 'in mind', 'mind saranata', 'saranata ', ' recollection', 'recollection in', 'in this', 'this connection', 'connection the', 'the process', 'process of', 'of mindfulness', 'mindfulness is', 'is compared', 'compared to', 'to the', 'the treasurer', 'treasurer of', 'of a', 'a king', 'king who', 'who reminds', 'reminds the', 'the king', 'king of', 'of the', 'the royal', 'royal possessions', 'possessions in', 'in detail', 'detail daily', 'daily at', 'at night', 'night and', 'and in', 'in the', 'the morning']"
33,[]
34,"['the mindfulness', 'mindfulness of', 'of the', 'the aspirant', 'aspirant to', 'to the', 'the highest', 'highest goal', 'goal of', 'of liberation', 'liberation from', 'from suffering', 'suffering reminds', 'reminds him', 'him of', 'of virtue', 'virtue concentration', 'concentration and', 'and wisdom', 'wisdom which', 'which constitute', 'constitute the', 'the possessions', 'possessions of', 'of the', 'the good', 'good life', 'life in', 'in the', 'the dispensation', 'dispensation of', 'of the', 'the buddha', 'buddha the', 'the value', 'value of', 'of the', 'the recollective', 'recollective activity', 'activity of', 'of mindfulness', 'mindfulness is', 'is seen', 'seen in', 'in the', 'the increasing', 'increasing awareness', 'awareness of', 'of the', 'the essentials', 'essentials of', 'of holy', 'holy living', 'living in', 'in the', 'the aspirants', 'aspirants mind', 'mind and', 'and the', 'the growing', 'growing strength', 'strength of', 'of purpose', 'purpose for', 'for realizing', 'realizing these', 'these within', 'within himself']"
35,[]
36,"['above that', 'that stands', 'stands mindfulness', 'mindfulness as', 'as the', 'the activity', 'activity that', 'that takes', 'takes care', 'care of', 'of the', 'the mind', 'mind and', 'and protects', 'protects it', 'it it', 'it is', 'is compared', 'compared to', 'to a', 'a wagon', 'wagon driver', 'driver who', 'who ties', 'ties the', 'the oxen', 'oxen to', 'to the', 'the wagons', 'wagons yoke', 'yoke greases', 'greases the', 'the axle', 'axle and', 'and drives', 'drives the', 'the wagon', 'wagon making', 'making the', 'the oxen', 'oxen go', 'go gently', 'gently in', 'in this', 'this activity', 'activity mindfulness', 'mindfulness looks', 'looks to', 'to the', 'the smooth', 'smooth working', 'working and', 'and movement', 'movement of', 'of the', 'the mind', 'mind and', 'and takes', 'takes notice', 'notice of', 'of the', 'the processes', 'processes both', 'both skillful', 'skillful and', 'and not', 'not taking', 'taking place', 'place in', 'in the', 'the consciousness']"
37,[]
38,"['in the', 'the more', 'more complex', 'complex forms', 'forms it', 'it is', 'is the', 'the selective', 'selective and', 'and integrative', 'integrative action', 'action of', 'of the', 'the mind', 'mind the', 'the selective', 'selective activity', 'activity has', 'has been', 'been compared', 'compared to', 'to the', 'the work', 'work of', 'of the', 'the chief', 'chief adviser', 'adviser of', 'of a', 'a king', 'king as', 'as the', 'the adviser', 'adviser is', 'is instrumental', 'instrumental in', 'in distinguishing', 'distinguishing the', 'the good', 'good from', 'from the', 'the bad', 'bad and', 'and in', 'in getting', 'getting the', 'the good', 'good and', 'and avoiding', 'avoiding the', 'the bad', 'bad so', 'so mindfulness', 'mindfulness distinguishes', 'distinguishes the', 'the worthy', 'worthy from', 'from unworthy', 'unworthy things', 'things avoids', 'avoids the', 'the unworthy', 'unworthy and', 'and obtains', 'obtains the', 'the worthy']"
39,[]
40,"['the integrative', 'integrative character', 'character of', 'of mindfulness', 'mindfulness is', 'is like', 'like the', 'the ministerofallwork', 'ministerofallwork of', 'of a', 'a king', 'king he', 'he is', 'is wanted', 'wanted in', 'in putting', 'putting through', 'through every', 'every project', 'project of', 'of the', 'the king', 'king he', 'he is', 'is commissioned', 'commissioned to', 'to organise', 'organise and', 'and combine', 'combine the', 'the workers', 'workers and', 'and execute', 'execute the', 'the tasks', 'tasks mindfulness', 'mindfulness is', 'is also', 'also like', 'like that', 'that minister', 'minister it', 'it is', 'is the', 'the organizing', 'organizing activity', 'activity of', 'of the', 'the mind', 'mind necessary', 'necessary for', 'for the', 'the development', 'development of', 'of wholesome', 'wholesome states', 'states of', 'of consciousness', 'consciousness it', 'it combines', 'combines the', 'the various', 'various other', 'other qualities', 'qualities which', 'which compose', 'compose those', 'those states', 'states puts', 'puts them', 'them to', 'to their', 'their appropriate', 'appropriate tasks', 'tasks and', 'and keeps', 'keeps them', 'them in', 'in proper', 'proper working', 'working order', 'order by', 'by the', 'the strength', 'strength of', 'of integrating', 'integrating mindfulness', 'mindfulness a', 'a conscious', 'conscious state', 'state of', 'of skill', 'skill functions', 'functions harmoniously', 'harmoniously and', 'and becomes', 'becomes a', 'a wellknit', 'wellknit unity', 'unity this', 'this activity', 'activity of', 'of mindfulness', 'mindfulness makes', 'makes the', 'the work', 'work of', 'of the', 'the aspirant', 'aspirant complete', 'complete at', 'at every', 'every stage', 'stage of', 'of his', 'his progress']"
41,[]
42,"['integrating mindfulness', 'mindfulness sees', 'sees all', 'all lacks', 'lacks and', 'and deficiencies', 'deficiencies brings', 'brings in', 'in the', 'the needed', 'needed qualities', 'qualities and', 'and suitably', 'suitably applies', 'applies them', 'them it', 'it is', 'is called', 'called the', 'the highest', 'highest wisdom', 'wisdom of', 'of mindfulness', 'mindfulness parama', 'parama satinepakka', 'satinepakka and', 'and constitutes', 'constitutes the', 'the core', 'core of', 'of the', 'the mindfulness', 'mindfulness that', 'that is', 'is included', 'included in', 'in the', 'the real', 'real way', 'way ariya', 'ariya magga', 'magga pariyapanna', 'pariyapanna sati', 'sati of', 'of the', 'the way', 'way factor', 'factor of', 'of mindfulness', 'mindfulness sati', 'sati magganga', 'magganga and', 'and of', 'of the', 'the enlightenment', 'enlightenment factor', 'factor of', 'of mindfulness', 'mindfulness sati', 'sati sambojjhanga', 'sambojjhanga it', 'it is', 'is right', 'right mindfulness', 'mindfulness sammasati', 'sammasati in', 'in the', 'the full', 'full sense', 'sense of', 'of the', 'the term']"
43,[]
44,"['from the', 'the foregoing', 'foregoing it', 'it can', 'can be', 'be seen', 'seen that', 'that it', 'it is', 'is mindfulness', 'mindfulness that', 'that holds', 'holds things', 'things together', 'together in', 'in the', 'the mental', 'mental flux', 'flux brings', 'brings them', 'them up', 'up and', 'and prevents', 'prevents them', 'them from', 'from floating', 'floating away', 'away getting', 'getting submerged', 'submerged forgotten', 'forgotten and', 'and lost', 'lost without', 'without mindfulness', 'mindfulness there', 'there will', 'will be', 'be no', 'no reconstitution', 'reconstitution of', 'of already', 'already acquired', 'acquired knowledge', 'knowledge and', 'and consciousness', 'consciousness itself', 'itself would', 'would break', 'break in', 'in pieces', 'pieces become', 'become fragmentary', 'fragmentary and', 'and be', 'be unable', 'unable to', 'to do', 'do properly', 'properly the', 'the work', 'work of', 'of cognition', 'cognition further', 'further without', 'without mindfulness', 'mindfulness that', 'that has', 'has become', 'become wisdom', 'wisdom the', 'the highest', 'highest kind', 'kind of', 'of mindfulness', 'mindfulness which', 'which includes', 'includes clear', 'clear comprehension', 'comprehension cognition', 'cognition will', 'will be', 'be superficial', 'superficial there', 'there will', 'will not', 'not be', 'be the', 'the knowledge', 'knowledge of', 'of things', 'things gained', 'gained from', 'from different', 'different relations', 'relations and', 'and different', 'different angles', 'angles ', ' the', 'the work', 'work of', 'of discernment', 'discernment and', 'and discrimination', 'discrimination peculiar', 'peculiar to', 'to selective', 'selective activity', 'activity ', ' nor', 'nor any', 'any really', 'really constructive', 'constructive understanding', 'understanding ', ' the', 'the yield', 'yield of', 'of integration', 'integration ', ' and', 'and so', 'so penetrative', 'penetrative vision', 'vision into', 'into the', 'the full', 'full significance', 'significance of', 'of spiritual', 'spiritual things', 'things will', 'will not', 'not be', 'be reached']"
45,[]
46,"['when one', 'one is', 'is strongly', 'strongly mindful', 'mindful one', 'one plants', 'plants ones', 'ones consciousness', 'consciousness deep', 'deep in', 'in an', 'an object', 'object like', 'like a', 'a firm', 'firm post', 'post well', 'well sunk', 'sunk in', 'in the', 'the ground', 'ground and', 'and withstands', 'withstands the', 'the tempestuous', 'tempestuous clamour', 'clamour of', 'of the', 'the extraneous', 'extraneous by', 'by a', 'a sublime', 'sublime ignoring', 'ignoring of', 'of nonessentials', 'nonessentials but', 'but this', 'this does', 'does not', 'not mean', 'mean that', 'that in', 'in such', 'such a', 'a one', 'one interest', 'interest is', 'is narrow', 'narrow and', 'and his', 'his outlook', 'outlook wrongly', 'wrongly restricted', 'restricted strong', 'strong mindfulness', 'mindfulness ignores', 'ignores the', 'the unnecessary', 'unnecessary by', 'by adhering', 'adhering to', 'to the', 'the center', 'center of', 'of the', 'the business', 'business in', 'in hand', 'hand and', 'and extends', 'extends its', 'its view', 'view to', 'to important', 'important peripheral', 'peripheral conditions', 'conditions with', 'with a', 'a widespreading', 'widespreading watchfulness', 'watchfulness resembling', 'resembling that', 'that of', 'of the', 'the sentinel', 'sentinel on', 'on a', 'a tower', 'tower scanning', 'scanning the', 'the horizon', 'horizon for', 'for the', 'the glint', 'glint of', 'of armour', 'armour by', 'by such', 'such a', 'a balance', 'balance between', 'between width', 'width and', 'and depth', 'depth mindfulness', 'mindfulness steers', 'steers clear', 'clear of', 'of the', 'the extremes', 'extremes of', 'of lopsided', 'lopsided vision', 'vision and', 'and practice']"
47,[]
48,"['in the', 'the sense', 'sense of', 'of overcoming', 'overcoming mental', 'mental conflict', 'conflict and', 'and in', 'in the', 'the sense', 'sense of', 'of getting', 'getting rid', 'rid of', 'of all', 'all unclarity', 'unclarity all', 'all incapacity', 'incapacity to', 'to judge', 'judge aright', 'aright and', 'and indefiniteness', 'indefiniteness due', 'due to', 'to mental', 'mental unquiet', 'unquiet mindfulness', 'mindfulness is', 'is a', 'a controlling', 'controlling faculty', 'faculty indriya', 'indriya the', 'the controlling', 'controlling faculty', 'faculty of', 'of mindfulness', 'mindfulness makes', 'makes for', 'for the', 'the absence', 'absence of', 'of confusion', 'confusion asamussanata', 'asamussanata and', 'and produces', 'produces lucidity', 'lucidity of', 'of thought', 'thought sound', 'sound judgment', 'judgment and', 'and definiteness', 'definiteness of', 'of outlook', 'outlook mindfulness', 'mindfulness accompanied', 'accompanied by', 'by keen', 'keen understanding', 'understanding appears', 'appears as', 'as the', 'the controlling', 'controlling faculty', 'faculty of', 'of mindfulness']"
49,[]
50,"['mindfulness accompanied', 'accompanied by', 'by sustained', 'sustained energy', 'energy is', 'is mindfulness', 'mindfulness considered', 'considered as', 'as a', 'a spiritual', 'spiritual power', 'power bala', 'bala and', 'and is', 'is the', 'the quality', 'quality of', 'of earnestness', 'earnestness appamada', 'appamada which', 'which destroys', 'destroys the', 'the wavering', 'wavering of', 'of negligence', 'negligence pamada', 'pamada negligence', 'negligence is', 'is the', 'the wandering', 'wandering of', 'of the', 'the mind', 'mind in', 'in objects', 'objects of', 'of fivefold', 'fivefold sensepleasure', 'sensepleasure repeatedly', 'repeatedly it', 'it is', 'is the', 'the absence', 'absence of', 'of thoroughness', 'thoroughness of', 'of perseverance', 'perseverance and', 'and of', 'of steadfastness', 'steadfastness in', 'in doing', 'doing good', 'good the', 'the behavior', 'behavior that', 'that is', 'is stuck', 'stuck in', 'in the', 'the mire', 'mire of', 'of worldliness', 'worldliness the', 'the casting', 'casting aside', 'aside of', 'of the', 'the desire', 'desire to', 'to do', 'do what', 'what is', 'is right', 'right the', 'the casting', 'casting aside', 'aside of', 'of the', 'the duties', 'duties which', 'which belong', 'belong to', 'to one', 'one the', 'the absence', 'absence of', 'of practice', 'practice development', 'development and', 'and increase', 'increase of', 'of wholesome', 'wholesome qualities', 'qualities the', 'the lack', 'lack of', 'of right', 'right resolve', 'resolve and', 'and the', 'the want', 'want of', 'of application', 'application earnestness', 'earnestness is', 'is the', 'the opposite', 'opposite of', 'of all', 'all that', 'that negligence', 'negligence connotes', 'connotes according', 'according to', 'to meaning', 'meaning earnestness', 'earnestness is', 'is the', 'the nonneglect', 'nonneglect of', 'of mindfulness', 'mindfulness atthato', 'atthato hi', 'hi so', 'so satiya', 'satiya avippavaso', 'avippavaso indeed', 'indeed earnestness', 'earnestness is', 'is the', 'the name', 'name for', 'for mindfulness', 'mindfulness that', 'that is', 'is always', 'always active', 'active constantly', 'constantly at', 'at work', 'work earnestness', 'earnestness may', 'may also', 'also be', 'be explained', 'explained as', 'as it', 'it has', 'has been', 'been by', 'by some', 'some as', 'as the', 'the four', 'four mental', 'mental aggregates', 'aggregates of', 'of feeling', 'feeling perception', 'perception consciousness', 'consciousness and', 'and formations', 'formations proceeding', 'proceeding with', 'with application', 'application of', 'of mindfulness', 'mindfulness and', 'and clear', 'clear comprehension', 'comprehension satisampajaññayogena', 'satisampajaññayogena pavatta', 'pavatta cattaro', 'cattaro arupino', 'arupino khandha', 'khandha appamado']"
51,[]
52,"['all that', 'that the', 'the buddha', 'buddha taught', 'taught from', 'from the', 'the time', 'time of', 'of his', 'his enlightenment', 'enlightenment to', 'to his', 'his passing', 'passing away', 'away into', 'into the', 'the element', 'element of', 'of immortality', 'immortality has', 'has been', 'been summed', 'summed up', 'up in', 'in the', 'the sentence', 'sentence strive', 'strive with', 'with earnestness', 'earnestness the', 'the last', 'last words', 'words of', 'of the', 'the master', 'master earnestness', 'earnestness runs', 'runs through', 'through the', 'the whole', 'whole of', 'of the', 'the buddhaword', 'buddhaword and', 'and embraces', 'embraces everything', 'everything there', 'there it', 'it is', 'is like', 'like the', 'the elephants', 'elephants footprint', 'footprint which', 'which is', 'is able', 'able to', 'to contain', 'contain the', 'the footprint', 'footprint of', 'of any', 'any other', 'other animal', 'animal therefore', 'therefore did', 'did the', 'the blessed', 'blessed one', 'one say', 'say all', 'all wholesome', 'wholesome things', 'things are', 'are founded', 'founded on', 'on earnestness', 'earnestness converge', 'converge on', 'on earnestness', 'earnestness and', 'and earnestness', 'earnestness is', 'is to', 'to be', 'be considered', 'considered as', 'as the', 'the most', 'most excellent', 'excellent of', 'of them']"
53,[]
